DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Kg)
2006-10-01,2006,1,10,SECEX12_XGASOLKG12,2006-10-01T00:00:00-03:00,92724764.0
2006-11-01,2006,1,11,SECEX12_XGASOLKG12,2006-11-01T00:00:00-03:00,88919825.0
2006-12-01,2006,1,12,SECEX12_XGASOLKG12,2006-12-01T00:00:00-02:00,119076413.0
2007-01-01,2007,1,1,SECEX12_XGASOLKG12,2007-01-01T00:00:00-02:00,147768362.0
2007-02-01,2007,1,2,SECEX12_XGASOLKG12,2007-02-01T00:00:00-02:00,75882963.0
2007-03-01,2007,1,3,SECEX12_XGASOLKG12,2007-03-01T00:00:00-03:00,129858758.0
2007-04-01,2007,1,4,SECEX12_XGASOLKG12,2007-04-01T00:00:00-03:00,156243003.0
2007-05-01,2007,1,5,SECEX12_XGASOLKG12,2007-05-01T00:00:00-03:00,393494522.0
2007-06-01,2007,1,6,SECEX12_XGASOLKG12,2007-06-01T00:00:00-03:00,247277948.0
2007-07-01,2007,1,7,SECEX12_XGASOLKG12,2007-07-01T00:00:00-03:00,253806096.0
2007-08-01,2007,1,8,SECEX12_XGASOLKG12,2007-08-01T00:00:00-03:00,270713659.0
2007-09-01,2007,1,9,SECEX12_XGASOLKG12,2007-09-01T00:00:00-03:00,292864459.0
2007-10-01,2007,1,10,SECEX12_XGASOLKG12,2007-10-01T00:00:00-03:00,260426015.0
2007-11-01,2007,1,11,SECEX12_XGASOLKG12,2007-11-01T00:00:00-02:00,356969133.0
2007-12-01,2007,1,12,SECEX12_XGASOLKG12,2007-12-01T00:00:00-02:00,164555011.0
2008-01-01,2008,1,1,SECEX12_XGASOLKG12,2008-01-01T00:00:00-02:00,166829281.0
2008-02-01,2008,1,2,SECEX12_XGASOLKG12,2008-02-01T00:00:00-02:00,236274023.0
2008-03-01,2008,1,3,SECEX12_XGASOLKG12,2008-03-01T00:00:00-03:00,75570833.0
2008-04-01,2008,1,4,SECEX12_XGASOLKG12,2008-04-01T00:00:00-03:00,96231749.0
2008-05-01,2008,1,5,SECEX12_XGASOLKG12,2008-05-01T00:00:00-03:00,189845951.0
2008-06-01,2008,1,6,SECEX12_XGASOLKG12,2008-06-01T00:00:00-03:00,201539466.0
2008-07-01,2008,1,7,SECEX12_XGASOLKG12,2008-07-01T00:00:00-03:00,137359601.0
2008-08-01,2008,1,8,SECEX12_XGASOLKG12,2008-08-01T00:00:00-03:00,352651778.0
2008-09-01,2008,1,9,SECEX12_XGASOLKG12,2008-09-01T00:00:00-03:00,127481879.0
2008-10-01,2008,1,10,SECEX12_XGASOLKG12,2008-10-01T00:00:00-03:00,125217441.0
2008-11-01,2008,1,11,SECEX12_XGASOLKG12,2008-11-01T00:00:00-02:00,47309225.0
2008-12-01,2008,1,12,SECEX12_XGASOLKG12,2008-12-01T00:00:00-02:00,171854271.0
2009-01-01,2009,1,1,SECEX12_XGASOLKG12,2009-01-01T00:00:00-02:00,67612263.0
2009-02-01,2009,1,2,SECEX12_XGASOLKG12,2009-02-01T00:00:00-02:00,116023913.0
2009-03-01,2009,1,3,SECEX12_XGASOLKG12,2009-03-01T00:00:00-03:00,82623199.0
2009-04-01,2009,1,4,SECEX12_XGASOLKG12,2009-04-01T00:00:00-03:00,82866153.0
2009-05-01,2009,1,5,SECEX12_XGASOLKG12,2009-05-01T00:00:00-03:00,230455279.0
2009-06-01,2009,1,6,SECEX12_XGASOLKG12,2009-06-01T00:00:00-03:00,170530139.0
2009-07-01,2009,1,7,SECEX12_XGASOLKG12,2009-07-01T00:00:00-03:00,256815188.0
2009-08-01,2009,1,8,SECEX12_XGASOLKG12,2009-08-01T00:00:00-03:00,227542676.0
2009-09-01,2009,1,9,SECEX12_XGASOLKG12,2009-09-01T00:00:00-03:00,242224737.0
2009-10-01,2009,1,10,SECEX12_XGASOLKG12,2009-10-01T00:00:00-03:00,112318478.0
2009-11-01,2009,1,11,SECEX12_XGASOLKG12,2009-11-01T00:00:00-02:00,137365251.0
2009-12-01,2009,1,12,SECEX12_XGASOLKG12,2009-12-01T00:00:00-02:00,142773541.0
2010-01-01,2010,1,1,SECEX12_XGASOLKG12,2010-01-01T00:00:00-02:00,13509727.0
2010-02-01,2010,1,2,SECEX12_XGASOLKG12,2010-02-01T00:00:00-02:00,6702969.0
2010-03-01,2010,1,3,SECEX12_XGASOLKG12,2010-03-01T00:00:00-03:00,15978547.0
2010-04-01,2010,1,4,SECEX12_XGASOLKG12,2010-04-01T00:00:00-03:00,8326782.0
2010-05-01,2010,1,5,SECEX12_XGASOLKG12,2010-05-01T00:00:00-03:00,8730532.0
2010-06-01,2010,1,6,SECEX12_XGASOLKG12,2010-06-01T00:00:00-03:00,47617055.0
